ID,condition,learning,target_recall,sub_recall,participant
1,baseline,1,1,NA,17
2,baseline,1,1,NA,17
3,baseline,1,1,NA,17
4,baseline,1,1,NA,17
5,baseline,1,1,NA,17
6,baseline,1,1,NA,17
7,baseline,1,1,NA,17
8,baseline,0,1,NA,17
9,baseline,1,1,NA,17
10,baseline,1,1,NA,17
11,baseline,1,1,NA,17
12,baseline,1,1,NA,17
13,think,1,1,NA,17
14,think,1,1,NA,17
15,think,1,1,NA,17
16,think,1,1,NA,17
17,think,1,1,NA,17
18,think,1,1,NA,17
19,think,1,1,NA,17
20,think,1,1,NA,17
21,think,1,1,NA,17
22,think,1,1,NA,17
23,think,1,1,NA,17
24,think,1,1,NA,17
25,nothink,1,1,1,17
26,nothink,1,1,1,17
27,nothink,1,1,1,17
28,nothink,1,1,1,17
29,nothink,1,1,1,17
30,nothink,1,1,1,17
31,nothink,1,1,1,17
32,nothink,1,1,1,17
33,nothink,1,1,1,17
34,nothink,1,1,1,17
35,nothink,1,1,1,17
36,nothink,1,1,1,17
