status,type,words,participant,rate
nothink,cue,電車 [電車],28,4
nothink,tar,電車 [カップル],28,2
nothink,sub,電車 [レール],28,5
nothink,cue,雨雲 [雨雲],28,3
nothink,tar,雨雲 [トラック],28,2
nothink,sub,雨雲 [あられ],28,5
nothink,cue,満月 [満月],28,5
nothink,tar,満月 [ミサイル],28,3
nothink,sub,満月 [クレーター],28,4
nothink,cue,網戸 [網戸],28,4
nothink,tar,網戸 [とんぼ],28,1
nothink,sub,網戸 [カーテン],28,4
nothink,cue,舞台 [舞台],28,4
nothink,tar,舞台 [とんかち],28,1
nothink,sub,舞台 [オペラ],28,5
nothink,cue,旅行 [旅行],28,2
nothink,tar,旅行 [ビール],28,1
nothink,sub,旅行 [ホテル],28,5
nothink,cue,面接 [面接],28,3
nothink,tar,面接 [おなか],28,1
nothink,sub,面接 [アルバイト],28,4
nothink,cue,王様 [王様],28,4
nothink,tar,王様 [カジノ],28,1
nothink,sub,王様 [マント],28,3
nothink,cue,公園 [公園],28,3
nothink,tar,公園 [マナー],28,1
nothink,sub,公園 [シーソー],28,4
nothink,cue,彫刻 [彫刻],28,5
nothink,tar,彫刻 [ダイヤ],28,1
nothink,sub,彫刻 [ナイフ],28,4
nothink,cue,新年 [新年],28,2
nothink,tar,新年 [ニュース],28,1
nothink,sub,新年 [モチつき],28,5
nothink,cue,洞窟 [洞窟],28,4
nothink,tar,洞窟 [コンパス],28,1
nothink,sub,洞窟 [こうもり],28,4
think,cue,屋台 [屋台],28,5
think,tar,屋台 [まぐろ],28,5
think,sub,屋台 [おしぼり],28,1
think,cue,競走 [競走],28,4
think,tar,競走 [うさぎ],28,5
think,sub,競走 [ゼッケン],28,1
think,cue,財布 [財布],28,3
think,tar,財布 [ワニ],28,5
think,sub,財布 [カード],28,1
think,cue,野宿 [野宿],28,3
think,tar,野宿 [カラス],28,5
think,sub,野宿 [テント],28,1
think,cue,映画 [映画],28,2
think,tar,映画 [カフェ],28,5
think,sub,映画 [フィルム],28,1
think,cue,登山 [登山],28,4
think,tar,登山 [ラジオ],28,4
think,sub,登山 [アルプス],28,1
think,cue,砂漠 [砂漠],28,5
think,tar,砂漠 [ゴルフ],28,5
think,sub,砂漠 [オアシス],28,1
think,cue,油絵 [油絵],28,5
think,tar,油絵 [ローマ],28,3
think,sub,油絵 [デッサン],28,1
think,cue,缶詰 [缶詰],28,4
think,tar,缶詰 [バナナ],28,4
think,sub,缶詰 [リサイクル],28,1
think,cue,幼児 [幼児],28,5
think,tar,幼児 [ピアノ],28,5
think,sub,幼児 [おしゃぶり],28,1
think,cue,和室 [和室],28,5
think,tar,和室 [ろうそく],28,5
think,sub,和室 [ふすま],28,1
think,cue,坊主 [坊主],28,5
think,tar,坊主 [ほくろ],28,5
think,sub,坊主 [バリカン],28,1
