___,participant,suppression,couterbalance,learn_think,learn_nothink,learn_base,recall_think,recall_nothink,recall_base,recall_sub,sex,age,think_cue,think_tar,think_sub,nothink_cue,nothink_tar,nothink_sub
,1,0,1,10,12,11,1,0.583333333,1,0.916666667,0,21,4.166666667,3.916666667,1,4.666666667,1.5,2.75
,2,1,1,9,9,7,0.777777778,0.444444444,0.714285714,0.916666667,0,19,3.75,3.916666667,1,3.833333333,2.166666667,5
,3,0,2,11,12,10,1,0.7,1,0.583333333,1,23,5,4.916666667,1,4.916666667,2.083333333,2.333333333
,4,1,2,12,11,12,1,0.909090909,0.916666667,1,0,23,1.083333333,4.75,1.166666667,1,2.25,4.833333333
,5,0,3,11,9,9,1,0.888888889,1,0.75,0,23,1.833333333,4.25,1,3.166666667,2.666666667,2.833333333
,6,1,3,11,12,12,1,0.916666667,1,0.916666667,1,20,2,4.583333333,1,2,4,3.916666667
,7,0,4,12,11,12,1,1,0.916666667,1,0,22,4.166666667,4.5,1.333333333,3.916666667,3.333333333,2.833333333
,8,1,4,12,12,12,1,1,1,1,0,18,3.333333333,5,1.083333333,2.833333333,3.666666667,4.833333333
,9,0,5,11,10,10,1,0.6,0.8,0.583333333,1,20,2.333333333,5,1,5,2.333333333,2.75
,10,1,5,11,11,11,1,0.818181818,0.909090909,1,1,22,5,4.666666667,1,5,3.583333333,4.083333333
,11,0,6,12,12,12,1,1,1,0.833333333,1,20,3.333333333,3.583333333,1,4.583333333,2.333333333,1.833333333
,12,1,6,11,12,9,1,1,1,1,1,23,4.916666667,4.5,1.25,5,4.583333333,4.75
,13,0,1,12,12,12,1,1,1,1,1,21,4.333333333,3.333333333,1.25,4.416666667,2.666666667,3
,14,1,1,10,9,10,1,1,1,1,1,21,4.916666667,4.916666667,1.333333333,4.916666667,4.083333333,5
,15,0,2,11,10,11,1,0.8,1,1,1,18,4.333333333,3.916666667,1,4.25,1.666666667,1.666666667
,16,1,2,12,12,12,1,0.833333333,1,0.916666667,1,21,3.833333333,3.833333333,1,2.666666667,2.5,3.25
,17,0,3,12,12,11,1,1,1,1,1,22,2.25,4.75,1,4.833333333,1.833333333,1.833333333
,18,1,3,10,10,10,1,1,1,0.916666667,0,21,4,3.75,1.416666667,3.833333333,4.166666667,3.666666667
,19,0,4,10,11,12,1,1,1,1,0,19,3.5,3.416666667,1.583333333,3.833333333,2.75,3.333333333
,20,1,4,12,11,12,1,0.909090909,1,0.916666667,1,22,3.416666667,3.25,1.75,3.083333333,3.166666667,3
,21,0,5,12,12,12,1,1,1,0.833333333,0,22,4.666666667,4.916666667,1.166666667,5,3,2.75
,22,1,5,8,8,10,0.875,0.875,1,1,1,22,2.833333333,3.833333333,1,2.5,3,2.666666667
,23,0,6,11,12,10,1,0.916666667,1,0.916666667,0,22,3.333333333,3.083333333,1,3.5,3.25,3.416666667
,24,1,6,12,12,10,1,0.833333333,0.9,1,0,21,5,5,1,4.833333333,4.75,5
,25,0,1,11,12,11,1,0.916666667,1,0.916666667,0,21,3.916666667,4.833333333,1,5,1.416666667,1.833333333
,26,1,1,12,12,12,1,0.916666667,1,1,1,20,4.666666667,4.083333333,1,4.583333333,3.166666667,3.666666667
,27,0,2,11,9,10,0.818181818,0.9,1,0.583333333,0,21,4.583333333,4,1.416666667,4.666666667,3.583333333,3.166666667
,28,1,2,12,12,12,1,0.916666667,1,1,0,20,4.166666667,4.666666667,1,3.583333333,1.333333333,4.333333333
,29,0,3,12,12,10,1,0.833333333,0.9,0.416666667,0,22,3.666666667,3.916666667,1,4.25,1,1
,30,1,3,12,10,10,1,0.9,1,1,1,20,2.166666667,4,1,1.833333333,3.583333333,3.916666667
,31,0,4,12,12,12,1,0.916666667,1,0.75,0,22,4.166666667,4.25,1.166666667,4.166666667,3.5,3.083333333
,32,1,4,12,12,12,0.916666667,0.916666667,1,0.833333333,0,20,4.916666667,5,1.833333333,4.916666667,4.75,4.583333333
,33,0,5,12,12,11,1,0.909090909,0.833333333,0.916666667,0,21,4.416666667,4.833333333,1,5,2.333333333,2.333333333
,34,1,5,12,11,11,1,1,1,0.916666667,1,22,4.833333333,4.916666667,1.083333333,4.666666667,4.166666667,4.416666667
,35,0,6,12,12,12,1,1,1,0.916666667,0,20,1.083333333,4.916666667,1,4.416666667,1.25,1.166666667
,36,1,6,12,10,12,1,1,1,1,1,21,1.583333333,4.5,1,1.833333333,1.166666667,4.416666667
